,video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
0,7494,0.8646981623606178,33,0.8157734088405241,12
1,7495,0.8492632878331519,34,0.7170877732655974,10
2,7496,0.8906270983333155,32,0.7995570914606578,13
3,7497,0.8769526699950554,33,0.7780396817747022,10
4,7498,0.8480510121422059,33,0.7539838222339375,10
5,7499,0.8833078551333331,33,0.8024421714687362,13
6,7500,0.8893426036002942,33,0.8139219656189837,10
7,7502,0.8484589670129995,43,0.7597265171412005,15
8,7503,0.8844507232393574,33,0.780771383328819,11
9,7504,0.8728765662120209,33,0.786539402366274,15
10,7505,0.8465751049562799,38,0.743656564275817,10
11,7506,0.8783737332978514,34,0.793026788145696,10
12,7507,0.8825249820978064,34,0.7776328096418186,12
13,7508,0.8567482475552463,33,0.7365574798308427,14
14,7510,0.8777190732558531,33,0.7925024377383418,11
15,7511,0.8839375711282913,34,0.8165049887114494,18
16,7513,0.8564138726206443,34,0.7685577359143426,19
17,7515,0.885109598138516,33,0.7929075174740204,13
18,7516,0.857381812514559,34,0.7696319550293919,11
19,7517,0.8032887972355186,33,0.6926423097745804,13
20,7518,0.8759852971395375,33,0.8056790549008087,10
21,7519,0.8429283376750079,32,0.7901560753806871,10
22,7520,0.7881418441806003,33,0.6871115471668345,14
23,7521,0.8773834506274731,34,0.794038347522127,14
24,7522,0.8909367945369465,33,0.8060281638424523,16
25,7523,0.8873116110180816,34,0.8151588289188326,14
26,7524,0.8755692277268364,50,0.7844050294210586,22
27,7525,0.8821761230223439,42,0.8203277872912142,10
28,7526,0.8786911859901958,31,0.7734294233103356,20
29,7527,0.8411452086550615,33,0.7663862520219225,17
30,7528,0.8351032890475679,32,0.7381850320093511,10
31,7530,0.903709337218225,34,0.792044618183681,11
32,7531,0.88867733153879,33,0.7803459734047737,14
33,7532,0.8294101529925786,33,0.7651126328264695,14
34,7533,0.8486577285673136,34,0.7327697722294237,9
35,7534,0.8526598580260951,34,0.7695936553870069,10
36,7535,0.8925768225033889,34,0.7606722905008858,10
37,7536,0.8243785997315566,46,0.7546088479234523,11
38,7538,0.8682857938493213,34,0.7544860086648872,10
39,7539,0.8755365767280574,32,0.8127980359334294,10
40,7540,0.8862034886891099,33,0.8022995326571822,10
41,7541,0.8528241966201474,35,0.7620284017516605,10
42,7542,0.8624189461485308,33,0.7820536599170007,12
43,7543,0.8120464041467604,33,0.7597636002383699,12
44,7544,0.8504154165587215,34,0.770084183279943,11
45,7545,0.8924746591510679,33,0.7826690106979963,13
46,7546,0.8615378449041984,34,0.7746152076022843,14
47,7548,0.8912138764940174,38,0.7929225597734608,9
48,7549,0.8919897282764262,34,0.8080212523594765,13
49,7550,0.8789400251697308,56,0.7650597364415285,21
50,7552,0.8160108368637707,32,0.739397028786057,16
51,7554,0.8610112356814321,51,0.783180916526643,24
52,7555,0.8091168507327468,55,0.7470272761655712,13
53,7556,0.8963046719333551,33,0.8107878733237761,19
54,7558,0.8477236296247685,33,0.7774476798441755,16
55,7560,0.8631937542815918,33,0.7559870732695483,12
56,7562,0.8790531125226114,33,0.7934343376352975,10
57,7563,0.8976039502583356,32,0.8212960125917479,16
58,7565,0.8811008355911419,34,0.8015973660446531,10
59,7566,0.8795850699205934,34,0.7822246208630306,13
60,7567,0.821748615124129,32,0.7450164485650115,12
61,7568,0.8760485908245901,34,0.7915044096207415,13
62,7569,0.8490212666939737,43,0.7693879294302782,10
63,7571,0.8831948848191028,32,0.7985564589050371,11
64,7572,0.8928263630738554,34,0.834693834510937,11
65,7573,0.8275327104973313,37,0.7682826245556591,11
66,7574,0.8862609078948726,36,0.7916236147430138,12
67,7575,0.8298793246099021,34,0.7844829587299708,14
68,7576,0.873348803922923,33,0.7896105649596902,12
69,7578,0.871806892770143,47,0.797363552718117,11
70,7579,0.8640780507840711,33,0.8027927977274961,15
71,7580,0.8456686595121503,33,0.7412144628729683,17
72,7581,0.866988416526719,33,0.8013797763219483,14
73,7582,0.873779000216722,34,0.793914559396511,10
74,7584,0.8852315318290888,34,0.8064658896040264,10
75,7585,0.8765795567980788,41,0.7942471960966203,16
76,7587,0.892826494703522,33,0.8138890955204107,16
77,7588,0.8932859285970499,76,0.8050642374516351,16
78,7589,0.869832644939571,35,0.7361108165471132,11
79,7590,0.892715699180271,58,0.7805489830045318,13
80,7591,0.874435584821429,34,0.8287623592906289,10
81,7592,0.8297805838875223,33,0.7196686430327182,11
82,7593,0.8670762294238626,33,0.8294798233906632,15
83,7596,0.8817625721954133,33,0.7909644058535915,12
84,7597,0.8786886024733433,33,0.7840459057797741,11
85,7598,0.8565018291080773,32,0.7926998075352992,11
86,7599,0.8416200152978793,32,0.8032435864580003,14
87,7600,0.7921678814365037,34,0.7066093811017827,9
88,7602,0.8648201670309316,33,0.7940760855350806,10
89,7603,0.8613995492355366,34,0.7978941795367642,24
90,7604,0.8796278816497487,42,0.7772768577442735,10
91,7605,0.8688053628904602,39,0.800035667690364,11
92,7606,0.8787013214748546,34,0.8002327642828482,10
93,7607,0.8118873157510416,33,0.724454440802168,12
94,7608,0.8889686649690128,36,0.8073085008418214,12
95,7609,0.8783749694744987,33,0.79145226191136,16
96,7610,0.8887572437055586,66,0.8041295304088741,15
97,7611,0.8060561276081634,33,0.7378591893106111,20
98,7612,0.890264212723677,35,0.7936594053194382,16
99,7613,0.8810264416409322,32,0.7812670064731422,10
100,7614,0.894840262122036,32,0.8104259848186717,11
101,7615,0.889250503374988,33,0.7899338833627961,12
102,7616,0.8313592246285876,33,0.7043213823407669,10
103,7617,0.8596646998592734,32,0.7546375167134697,18
104,7618,0.8055404845288164,34,0.6968998272506471,11
105,7619,0.8736776460254575,34,0.7950993825612107,11
106,7621,0.8752271899575598,33,0.8079389721036778,12
107,7624,0.8321568957997134,33,0.7513552056225168,20
108,7625,0.8296360749674939,34,0.7418254809438234,10
109,7626,0.8309479836524221,33,0.7439791372475376,12
110,7627,0.886036549634707,35,0.8147708458704351,17
111,7628,0.8828713753339855,34,0.7780022835672623,12
112,7629,0.834758347804071,70,0.7808248203475617,12
113,7631,0.866456770910019,33,0.7702789929862499,10
114,7632,0.8723893034431511,33,0.7943278371337642,15
115,7633,0.8016995725118727,32,0.7330131990533574,16
116,7634,0.8307071147635527,44,0.7330362351067286,12
117,7635,0.8556249065942879,33,0.7697087548542845,12
118,7636,0.8508044473942253,32,0.7883065212241634,10
119,7637,0.8874513366765758,34,0.7937829816741505,15
120,7638,0.8698253788459945,34,0.804895077305166,13
121,7640,0.8527814215744881,34,0.7553196276181633,13
122,7641,0.8065900571791114,34,0.7109724931511391,17
123,7642,0.8729517970532671,39,0.7650172374617562,10
124,7643,0.842272218873472,34,0.7994478126331575,10
125,7644,0.8955030855065074,44,0.7814250962420154,9
126,7646,0.8789024172592987,43,0.7800189330298817,10
127,7647,0.8202727391838942,32,0.7381256850569509,13
128,7648,0.8771409749089192,44,0.8091212360178005,10
129,7649,0.88087312252876,34,0.7684810317040037,11
130,7650,0.8929164865640348,31,0.7804414628984524,12
131,7651,0.8901396313634434,33,0.7844531952571541,10
132,7652,0.8458769619210967,33,0.791595807227017,18
133,7654,0.8322369828124686,34,0.7712717957684262,9
134,7655,0.839147061038395,33,0.7682028216004291,11
135,7656,0.8228598365346643,34,0.7564960784904484,13
136,7657,0.8428069218744181,46,0.7707819447912586,10
137,7659,0.8349074765701152,31,0.7323781121371256,11
138,7660,0.8841484362836762,33,0.7844040076281117,12
139,7661,0.8425042001960908,35,0.7904009948463425,13
140,7662,0.8797926839218333,34,0.7862340398323573,10
141,7664,0.8704819816074139,32,0.7717245335909855,10
142,7665,0.8722446522843008,33,0.7941946878354024,10
143,7667,0.8053317975848241,38,0.7084021486706447,12
144,7669,0.8852573780118964,33,0.786906693512684,12
145,7670,0.8644826875277367,34,0.7402088029019458,10
146,7671,0.8363291457196974,33,0.7749874931637296,9
147,7672,0.8739534112043372,68,0.7846634957325689,15
148,7673,0.8970632466265643,35,0.8242337263959414,11
